step,time,kinetic,potential,total
324,0.64800000,18.06707435,0.00000000,18.06707435
325,0.65000000,18.17840843,0.00000000,18.17840843
326,0.65200000,18.29008225,0.00000000,18.29008225
327,0.65400000,18.40209580,0.00000000,18.40209580
328,0.65600000,18.51444905,0.00000000,18.51444905
329,0.65800000,18.62714199,0.00000000,18.62714199
330,0.66000000,18.74017459,0.00000000,18.74017459
331,0.66200000,18.85354683,0.00000000,18.85354683
332,0.66400000,18.96725869,0.00000000,18.96725869
333,0.66600000,19.08131016,0.00000000,19.08131016
334,0.66800000,19.19570121,0.00000000,19.19570121
335,0.67000000,19.31043182,0.00000000,19.31043182
336,0.67200000,19.42550197,0.00000000,19.42550197
337,0.67400000,19.54091164,0.00000000,19.54091164
338,0.67600000,19.65666081,0.00000000,19.65666081
339,0.67800000,19.77274946,0.00000000,19.77274946
340,0.68000000,19.88917756,0.00000000,19.88917756
341,0.68200000,20.00594511,0.00000000,20.00594511
342,0.68400000,20.12305207,0.00000000,20.12305207
343,0.68600000,20.24049843,0.00000000,20.24049843
344,0.68800000,20.35828417,0.00000000,20.35828417
345,0.69000000,20.47640926,0.00000000,20.47640926
346,0.69200000,20.59487369,0.00000000,20.59487369
347,0.69400000,20.71367743,0.00000000,20.71367743
348,0.69600000,20.83282047,0.00000000,20.83282047
349,0.69800000,20.95230279,0.00000000,20.95230279
350,0.70000000,21.07212436,0.00000000,21.07212436
351,0.70200000,21.19228516,0.00000000,21.19228516
352,0.70400000,21.31278517,0.00000000,21.31278517
353,0.70600000,21.43362438,0.00000000,21.43362438
354,0.70800000,21.55480276,0.00000000,21.55480276
355,0.71000000,21.67632029,0.00000000,21.67632029
356,0.71200000,21.79817696,0.00000000,21.79817696
357,0.71400000,21.92037273,0.00000000,21.92037273
358,0.71600000,22.04290759,0.00000000,22.04290759
359,0.71800000,22.16578153,0.00000000,22.16578153
360,0.72000000,22.28899451,0.00000000,22.28899451
361,0.72200000,22.41254653,0.00000000,22.41254653
362,0.72400000,22.53643755,0.00000000,22.53643755
363,0.72600000,22.66066756,0.00000000,22.66066756
364,0.72800000,22.78523654,0.00000000,22.78523654
365,0.73000000,22.91014446,0.00000000,22.91014446
366,0.73200000,23.03539132,0.00000000,23.03539132
367,0.73400000,23.16097708,0.00000000,23.16097708
368,0.73600000,23.28690172,0.00000000,23.28690172
369,0.73800000,23.41316523,0.00000000,23.41316523
370,0.74000000,23.53976759,0.00000000,23.53976759
371,0.74200000,23.66670877,0.00000000,23.66670877
372,0.74400000,23.79398876,0.00000000,23.79398876
373,0.74600000,23.92160753,0.00000000,23.92160753
374,0.74800000,24.04956506,0.00000000,24.04956506
375,0.75000000,24.17786134,0.00000000,24.17786134
376,0.75200000,24.30649633,0.00000000,24.30649633
377,0.75400000,24.43547004,0.00000000,24.43547004
378,0.75600000,24.56478242,0.00000000,24.56478242
379,0.75800000,24.69443346,0.00000000,24.69443346
380,0.76000000,24.82442315,0.00000000,24.82442315
381,0.76200000,24.95475145,0.00000000,24.95475145
382,0.76400000,25.08541836,0.00000000,25.08541836
383,0.76600000,25.21642385,0.00000000,25.21642385
384,0.76800000,25.34776789,0.00000000,25.34776789
385,0.77000000,25.47945048,0.00000000,25.47945048
386,0.77200000,25.61147158,0.00000000,25.61147158
387,0.77400000,25.74383118,0.00000000,25.74383118
388,0.77600000,25.87652926,0.00000000,25.87652926
389,0.77800000,26.00956579,0.00000000,26.00956579
390,0.78000000,26.14294076,0.00000000,26.14294076
391,0.78200000,26.27665415,0.00000000,26.27665415
392,0.78400000,26.41070594,0.00000000,26.41070594
393,0.78600000,26.54509610,0.00000000,26.54509610
394,0.78800000,26.67982461,0.00000000,26.67982461
395,0.79000000,26.81489146,0.00000000,26.81489146
396,0.79200000,26.95029663,0.00000000,26.95029663
397,0.79400000,27.08604009,0.00000000,27.08604009
398,0.79600000,27.22212182,0.00000000,27.22212182
399,0.79800000,27.35854180,0.00000000,27.35854180
400,0.80000000,27.49530002,0.00000000,27.49530002
401,0.80200000,27.63239645,0.00000000,27.63239645
402,0.80400000,27.76983107,0.00000000,27.76983107
403,0.80600000,27.90760387,0.00000000,27.90760387
404,0.80800000,28.04571481,0.00000000,28.04571481
405,0.81000000,28.18416389,0.00000000,28.18416389
406,0.81200000,28.32295107,0.00000000,28.32295107
407,0.81400000,28.46207635,0.00000000,28.46207635
408,0.81600000,28.60153969,0.00000000,28.60153969
409,0.81800000,28.74134109,0.00000000,28.74134109
410,0.82000000,28.88148051,0.00000000,28.88148051
411,0.82200000,29.02195794,0.00000000,29.02195794
412,0.82400000,29.16277336,0.00000000,29.16277336
413,0.82600000,29.30392675,0.00000000,29.30392675
414,0.82800000,29.44541808,0.00000000,29.44541808
415,0.83000000,29.58724734,0.00000000,29.58724734
416,0.83200000,29.72941451,0.00000000,29.72941451
417,0.83400000,29.87191956,0.00000000,29.87191956
418,0.83600000,30.01476248,0.00000000,30.01476248
419,0.83800000,30.15794325,0.00000000,30.15794325
420,0.84000000,30.30146183,0.00000000,30.30146183
421,0.84200000,30.44531823,0.00000000,30.44531823
422,0.84400000,30.58951241,0.00000000,30.58951241
423,0.84600000,30.73404435,0.00000000,30.73404435
424,0.84800000,30.87891403,0.00000000,30.87891403
425,0.85000000,31.02412144,0.00000000,31.02412144
426,0.85200000,31.16966655,0.00000000,31.16966655
427,0.85400000,31.31554934,0.00000000,31.31554934
428,0.85600000,31.46176980,0.00000000,31.46176980
429,0.85800000,31.60832789,0.00000000,31.60832789
430,0.86000000,31.75522361,0.00000000,31.75522361
431,0.86200000,31.90245692,0.00000000,31.90245692
432,0.86400000,32.05002782,0.00000000,32.05002782
433,0.86600000,32.19793628,0.00000000,32.19793628
434,0.86800000,32.34618228,0.00000000,32.34618228
435,0.87000000,32.49476579,0.00000000,32.49476579
436,0.87200000,32.64368681,0.00000000,32.64368681
437,0.87400000,32.79294530,0.00000000,32.79294530
438,0.87600000,32.94254125,0.00000000,32.94254125
439,0.87800000,33.09247464,0.00000000,33.09247464
440,0.88000000,33.24274545,0.00000000,33.24274545
441,0.88200000,33.39335365,0.00000000,33.39335365
442,0.88400000,33.54429923,0.00000000,33.54429923
443,0.88600000,33.69558217,0.00000000,33.69558217
444,0.88800000,33.84720244,0.00000000,33.84720244
445,0.89000000,33.99916003,0.00000000,33.99916003
446,0.89200000,34.15145491,0.00000000,34.15145491
447,0.89400000,34.30408707,0.00000000,34.30408707
448,0.89600000,34.45705648,0.00000000,34.45705648
449,0.89800000,34.61036313,0.00000000,34.61036313
450,0.90000000,34.76400699,0.00000000,34.76400699
451,0.90200000,34.91798805,0.00000000,34.91798805
452,0.90400000,35.07230627,0.00000000,35.07230627
453,0.90600000,35.22696165,0.00000000,35.22696165
454,0.90800000,35.38195416,0.00000000,35.38195416
455,0.91000000,35.53728379,0.00000000,35.53728379
456,0.91200000,35.69295050,0.00000000,35.69295050
457,0.91400000,35.84895429,0.00000000,35.84895429
458,0.91600000,36.00529513,0.00000000,36.00529513
459,0.91800000,36.16197300,0.00000000,36.16197300
460,0.92000000,36.31898787,0.00000000,36.31898787
