step,time,kinetic,potential,total
342,0.68400000,0.04893452,0.32038803,0.36932255
343,0.68600000,0.04706951,0.33541933,0.38248884
344,0.68800000,0.04493260,0.35052410,0.39545670
345,0.69000000,0.04255413,0.36562418,0.40817831
346,0.69200000,0.03996767,0.38063894,0.42060660
347,0.69400000,0.03720952,0.39548588,0.43269540
348,0.69600000,0.03431824,0.41008138,0.44439961
349,0.69800000,0.03133404,0.42434135,0.45567539
350,0.70000000,0.02829828,0.43818201,0.46648028
351,0.70200000,0.02525282,0.45152059,0.47677341
352,0.70400000,0.02223948,0.46427612,0.48651560
353,0.70600000,0.01929943,0.47637015,0.49566958
354,0.70800000,0.01647260,0.48772749,0.50420009
355,0.71000000,0.01379714,0.49827693,0.51207407
356,0.71200000,0.01130884,0.50795192,0.51926076
357,0.71400000,0.00904069,0.51669118,0.52573187
358,0.71600000,0.00702235,0.52443934,0.53146169
359,0.71800000,0.00527979,0.53114746,0.53642724
360,0.72000000,0.00383486,0.53677349,0.54060835
361,0.72200000,0.00270506,0.54128272,0.54398778
362,0.72400000,0.00190325,0.54464806,0.54655131
363,0.72600000,0.00143750,0.54685036,0.54828786
364,0.72800000,0.00131096,0.54787854,0.54918950
365,0.73000000,0.00152187,0.54772969,0.54925157
366,0.73200000,0.00206357,0.54640912,0.54847269
367,0.73400000,0.00292461,0.54393021,0.54685482
368,0.73600000,0.00408897,0.54031429,0.54440326
369,0.73800000,0.00553626,0.53559040,0.54112666
370,0.74000000,0.00724208,0.52979494,0.53703702
371,0.74200000,0.00917838,0.52297128,0.53214966
372,0.74400000,0.01131388,0.51516928,0.52648315
373,0.74600000,0.01361454,0.50644477,0.52005931
374,0.74800000,0.01604410,0.49685896,0.51290305
375,0.75000000,0.01856459,0.48647779,0.50504238
376,0.75200000,0.02113695,0.47537125,0.49650820
377,0.75400000,0.02372157,0.46361269,0.48733426
378,0.75600000,0.02627890,0.45127806,0.47755696
379,0.75800000,0.02877001,0.43844521,0.46721523
380,0.76000000,0.03115723,0.42519311,0.45635034
381,0.76200000,0.03340463,0.41160112,0.44500575
382,0.76400000,0.03547860,0.39774828,0.43322688
383,0.76600000,0.03734827,0.38371263,0.42106091
384,0.76800000,0.03898606,0.36957053,0.40855659
385,0.77000000,0.04036794,0.35539606,0.39576400
386,0.77200000,0.04147388,0.34126043,0.38273431
387,0.77400000,0.04228806,0.32723151,0.36951957
388,0.77600000,0.04279907,0.31337335,0.35617242
389,0.77800000,0.04300010,0.29974580,0.34274590
390,0.78000000,0.04288896,0.28640422,0.32929318
391,0.78200000,0.04246812,0.27339919,0.31586730
392,0.78400000,0.04174460,0.26077638,0.30252098
393,0.78600000,0.04072985,0.24857644,0.28930629
394,0.78800000,0.03943957,0.23683495,0.27627452
395,0.79000000,0.03789341,0.22558245,0.26347586
396,0.79200000,0.03611465,0.21484460,0.25095925
397,0.79400000,0.03412984,0.20464227,0.23877211
398,0.79600000,0.03196838,0.19499179,0.22696017
399,0.79800000,0.02966206,0.18590525,0.21556731
400,0.80000000,0.02724455,0.17739074,0.20463528
401,0.80200000,0.02475091,0.16945276,0.19420366
402,0.80400000,0.02221705,0.16209257,0.18430962
403,0.80600000,0.01967919,0.15530861,0.17498781
404,0.80800000,0.01717333,0.14909690,0.16627023
405,0.81000000,0.01473469,0.14345147,0.15818615
406,0.81200000,0.01239724,0.13836476,0.15076200
407,0.81400000,0.01019318,0.13382808,0.14402125
408,0.81600000,0.00815248,0.12983197,0.13798445
409,0.81800000,0.00630247,0.12636660,0.13266907
410,0.82000000,0.00466746,0.12342211,0.12808957
411,0.82200000,0.00326838,0.12098892,0.12425730
412,0.82400000,0.00212254,0.11905802,0.12118057
413,0.82600000,0.00124338,0.11762123,0.11886460
414,0.82800000,0.00064030,0.11667132,0.11731162
